X Y grade
-87 -83 5
20 -45 0.39
74 66 2.08
-13 53 0.45
72 -86 4.61
74 -76 3.03
-2 12 0.54
-48 44 1.61
2 -67 3.15
-24 -27 1.71
-73 78 0.18
-61 -48 3.79
-84 21 1.0
49 95 2.05
68 29 0.74
-13 -69 0.44
-40 -64 0.8
30 39 1.57
27 -88 3.04
-65 6 1.09
84 -29 2.51
93 -29 4.33
-48 -56 4.4
100 26 4.75
75 -21 0.67
100 74 2.88
64 0 0.29
0 -14 0.87
25 -89 1.63
-31 33 1.03
53 -83 0.49
-77 47 4.76
58 97 4.31
86 68 0.2
18 -23 3.5
-90 66 3.21
-64 -52 0.55
-20 59 0.55
-62 -2 2.47
45 23 4.65
-70 41 3.77
-11 50 2.68
-80 -93 4.5
-64 -35 1.85
10 -95 0.34
71 -91 2.07
75 58 0.02
-74 84 3.84
-26 92 2.21
-44 0 1.43
33 80 3.33
26 -76 1.09
30 4 3.85
-44 -84 4.48
-46 95 1.57
-42 -17 2.27
-29 19 1.61
-21 32 1.49
-60 44 3.93
60 -35 0.65
-22 0 1.68
12 73 0.72
10 -77 0.97
-30 8 4.17
-28 -43 4.42
64 -75 0.2
-32 13 0.74
-60 -4 1.14
62 96 2.44
16 72 0.54
-92 -33 2.85
-20 -40 1.08
-20 -46 3.0
-63 -58 0.19
-34 61 3.63
82 86 1.04
87 56 0.99
98 -81 2.58
71 96 2.21
11 52 2.14
51 -21 1.56
-35 -94 3.25
-5 -55 4.8
-53 -61 0.46
43 -98 4.18
50 64 3.47
44 -7 1.96
82 -72 3.92
-59 -85 0.6
2 -70 1.53
29 36 4.61
93 -86 3.31
-64 81 3.89
37 85 1.3
-88 1 0.88
-65 -80 4.5
-55 -26 2.19
-24 -45 1.94
45 22 2.87
9 -90 1.18
